Flow_Timeout(s),Lambda_Rate(packets/s),Average_Delay(s)
1.0,0.9,1.2469659080599609
1.0,0.91,1.3016851243118033
1.0,0.92,1.2748859967319663
1.0,0.93,1.2819426441294568
1.0,0.9400000000000001,1.230596097090029
1.0,0.9500000000000001,1.2534242344706168
1.0,0.9600000000000001,1.2693369528163045
1.0,0.97,1.2510454575036016
1.0,0.98,1.2467740833261427
1.0,0.99,1.2621720741231086
1.0,1.0,1.238659953200678
1.0,1.01,1.2433165340560894
1.0,1.02,1.2706851444764466
1.0,1.03,1.256720574721738
1.0,1.04,1.260412840492452
1.0,1.05,1.2504835170240303
1.0,1.06,1.2148365041289069
1.0,1.07,1.2583309127350022
1.0,1.08,1.2300858581291876
1.0,1.09,1.2847397354619785
1.0,1.1,1.2777230142660536
1.0,1.11,1.2650633147802222
1.0,1.12,1.2513489325758844
1.0,1.1300000000000001,1.2365014640511294
1.0,1.1400000000000001,1.2382073615455824
1.0,1.1500000000000001,1.239227500152516
1.0,1.1600000000000001,1.2362022261574848
1.0,1.17,1.2332323312934146
1.0,1.18,1.2328297432592588
1.0,1.19,1.2404952604681274
1.0,1.2,1.2435378944897308
1.0,1.21,1.236773349983448
1.0,1.22,1.2461191718470346
1.0,1.23,1.2544837016321833
1.0,1.24,1.2488390983744855
1.0,1.25,1.2560661138134415
1.0,1.26,1.2217619336839247
1.0,1.27,1.2305116064230768
1.0,1.28,1.2391244157295593
1.0,1.29,1.2060842135470746
1.0,1.3,1.2299321408593722
1.0,1.31,1.223837049674294
1.0,1.32,1.2644349297606223
1.0,1.33,1.2297006419387548
1.0,1.34,1.2469350935858308
1.0,1.35,1.2296116540423414
1.0,1.36,1.2622913593975986
1.0,1.37,1.2724105066674665
1.0,1.3800000000000001,1.2485031657482317
1.0,1.3900000000000001,1.2712230765754156
1.0,1.4000000000000001,1.2293200275286829
1.0,1.4100000000000001,1.245370473935646
1.0,1.42,1.2627114217992192
1.0,1.43,1.2322636485291294
1.0,1.44,1.202853777399522
1.0,1.45,1.2878073710849818
1.0,1.46,1.2341194517246914
1.0,1.47,1.2277183779447174
1.0,1.48,1.26485650538244
1.0,1.49,1.2495202220344142
1.0,1.5,1.2614714776428246
1.0,1.51,1.2316596977635388
1.0,1.52,1.2684459565215311
1.0,1.53,1.2259657652544558
1.0,1.54,1.2645566274112674
1.0,1.55,1.3672072922764367
1.0,1.56,1.249948035729922
1.0,1.57,1.2836496117117628
1.0,1.58,1.2290134901934384
1.0,1.59,1.2948478420989706
1.0,1.6,1.296988907719077
1.0,1.61,1.3103961644499864
1.0,1.62,1.2262540285281387
1.0,1.6300000000000001,1.3036989161652057
1.0,1.6400000000000001,1.2742315501576837
1.0,1.6500000000000001,1.3228759401819028
1.0,1.6600000000000001,1.3090003692486354
1.0,1.6700000000000002,1.2568874201919313
1.0,1.68,1.3056211925172279
1.0,1.69,1.359166717296795
