arrival_rate,idle_timer,average_delay
0.1,1,1.2316279546066444
0.11457286432160804,1,1.2312194459940784
0.12914572864321608,1,1.2307643193896758
0.14371859296482414,1,1.2302609144181105
0.15829145728643218,1,1.2297077164477521
0.17286432160804022,1,1.2291033587049724
0.18743718592964825,1,1.2284466239659226
0.2020100502512563,1,1.2277364458265703
0.21658291457286433,1,1.2269719095539644
0.23115577889447236,1,1.2261522525238095
0.2457286432160804,1,1.225276864251454
0.26030150753768844,1,1.2243452860253108
0.27487437185929653,1,1.2233572101535506
0.2894472361809045,1,1.2223124788365751
0.3040201005025126,1,1.2212110826793485
0.3185929648241206,1,1.22005315885907
0.3331658291457287,1,1.218838988964953
0.34773869346733666,1,1.2175689965279912
0.36231155778894475,1,1.2162437442595824
0.37688442211055273,1,1.2148639310186922
0.3914572864321608,1,1.2134303885279354
0.4060301507537688,1,1.2119440778594668
0.4206030150753769,1,1.2104060857119667
0.4351758793969849,1,1.2088176205002552
0.44974874371859297,1,1.207180008279175
0.46432160804020106,1,1.2054946885233648
0.47889447236180904,1,1.203763209784415
0.49346733668341713,1,1.2019872252466313
0.5080402010050251,1,1.2001684882022867
0.5226130653266332,1,1.1983088474667738
0.5371859296482412,1,1.1964102427535328
0.5517587939698493,1,1.1944747000280016
0.5663316582914573,1,1.1925043268591438
0.5809045226130654,1,1.1905013077863509
0.5954773869346733,1,1.1884678997187053
0.6100502512562814,1,1.1864064273827484
0.6246231155778894,1,1.1843192788340025
0.6391959798994975,1,1.18220890104659
0.6537688442211055,1,1.1800777955943589
0.6683417085427136,1,1.1779285144359906
0.6829145728643216,1,1.1757636558156142
0.6974874371859296,1,1.1735858602895177
0.7120603015075376,1,1.1713978068886155
0.7266331658291457,1,1.1692022094254144
0.7412060301507537,1,1.1670018129533304
0.7557788944723618,1,1.164799390385337
0.7703517587939698,1,1.1625977392780926
0.7849246231155779,1,1.1603996787868769
0.799497487437186,1,1.158208046795918
0.8140703517587939,1,1.1560256972279415
0.828643216080402,1,1.1538554975360995
0.84321608040201,1,1.151700326380785
0.8577889447236181,1,1.1495630714932488
0.8723618090452261,1,1.1474466277273656
0.8869346733668342,1,1.14535389530041
0.9015075376884422,1,1.14328777822323
0.9160804020100503,1,1.1412511829197964
0.9306532663316582,1,1.1392470170357523
0.9452261306532663,1,1.137278188435256
0.9597989949748743,1,1.1353476043851538
0.9743718592964824,1,1.1334581709252793
0.9889447236180904,1,1.1316127924235206
1.0035175879396985,1,1.1298143713141324
1.0180904522613066,1,1.1280658080177086
1.0326633165829147,1,1.1263700010411561
1.0472361809045228,1,1.1247298472560256
1.0618090452261306,1,1.1231482423535717
1.0763819095477387,1,1.121628081474995
1.0909547738693468,1,1.1201722600154307
1.105527638190955,1,1.1187836746003916
1.120100502512563,1,1.117465224233564
1.1346733668341709,1,1.116219811615077
1.149246231155779,1,1.1150503446296132
1.163819095477387,1,1.1139597380040382
1.1783919597989951,1,1.1129509151345394
1.192964824120603,1,1.1120268100836341
1.207537688442211,1,1.1111903697478003
1.2221105527638192,1,1.1104445561969245
1.2366834170854273,1,1.1097923491872184
1.2512562814070352,1,1.109236748849772
1.2658291457286432,1,1.10878077855745
1.2804020100502513,1,1.108427487973421
1.2949748743718594,1,1.1081799562852366
1.3095477386934675,1,1.1080412956290377
1.3241206030150754,1,1.1080146547091914
1.3386934673366835,1,1.108103222619402
1.3532663316582916,1,1.108310232872179
1.3678391959798997,1,1.1086389676443835
1.3824120603015075,1,1.1090927622475295
1.3969849246231156,1,1.1096750098324857
1.4115577889447237,1,1.110389166339298
1.4261306532663318,1,1.1112387557039871
1.4407035175879397,1,1.1122273753353868
1.4552763819095478,1,1.1133587018764095
1.4698492462311559,1,1.114636497265523
1.484422110552764,1,1.116064615115743
1.498994974874372,1,1.1176470074300742
1.51356783919598,1,1.1193877316741
1.528140703517588,1,1.1212909582283246
1.542713567839196,1,1.1233609782449308
1.5572864321608042,1,1.1256022119358629
1.571859296482412,1,1.128019217321557
1.5864321608040202,1,1.1306166994722955
1.6010050251256283,1,1.133399520277024
1.6155778894472363,1,1.1363727087776094
1.6301507537688442,1,1.13954147210993
1.6447236180904523,1,1.1429112070969307
1.6592964824120604,1,1.1464875125428635
1.6738693467336685,1,1.1502762022824187
1.6884422110552764,1,1.1542833190433694
1.7030150753768845,1,1.1585151491867618
1.7175879396984925,1,1.162978238394622
1.7321608040201006,1,1.1676794083817188
1.7467336683417087,1,1.17262577471513
1.7613065326633166,1,1.1778247658333603
1.7758793969849247,1,1.18328414336558
1.7904522613065328,1,1.1890120238613322
1.8050251256281409,1,1.1950169020518995
1.8195979899497488,1,1.2013076757765655
1.8341708542713568,1,1.207893672720384
1.848743718592965,1,1.2147846791249748
1.863316582914573,1,1.2219909706504897
1.877889447236181,1,1.229523345585428
1.892462311557789,1,1.2373931606217357
1.907035175879397,1,1.2456123694358434
1.9216080402010052,1,1.2541935643423414
1.936180904522613,1,1.2631500213162374
1.9507537688442211,1,1.2724957487126525
1.9653266331658292,1,1.2822455400498627
1.9798994974874373,1,1.292415031263439
1.9944723618090454,1,1.3030207628865027
2.0090452261306533,1,1.3140802476646554
2.023618090452261,1,1.325612044174861
2.0381909547738695,1,1.3376358370865553
2.0527638190954773,1,1.3501725247818048
2.067336683417085,1,1.363244315140933
2.0819095477386935,1,1.3768748304024123
2.0964824120603014,1,1.3910892221230697
2.1110552763819097,1,1.4059142973992094
2.1256281407035176,1,1.421378657663952
2.140201005025126,1,1.4375128515544535
2.1547738693467338,1,1.4543495435486173
2.1693467336683416,1,1.4719237003094725
2.18391959798995,1,1.490272796952199
2.198492462311558,1,1.5094370457709694
2.213065326633166,1,1.5294596503385933
2.227638190954774,1,1.550387088331617
2.242211055276382,1,1.5722694269493065
2.25678391959799,1,1.5951606754016885
2.271356783919598,1,1.6191191796578346
2.285929648241206,1,1.64420806549308
2.3005025125628142,1,1.6704957368802495
2.315075376884422,1,1.6980564379691123
2.3296482412060304,1,1.7269708883320192
2.3442211055276383,1,1.7573270028741312
2.358793969849246,1,1.7892207098790938
2.3733668341708545,1,1.8227568831671164
2.3879396984924623,1,1.858050407385644
2.40251256281407,1,1.8952273991640152
2.4170854271356785,1,1.9344266114097022
2.4316582914572864,1,1.9758010536191224
2.4462311557788947,1,2.0195198679965936
2.4608040201005026,1,2.065770509778928
2.4753768844221105,1,2.1147612909181897
2.4899497487437188,1,2.1667243597955865
2.5045226130653266,1,2.221919206738995
2.519095477386935,1,2.280636806879612
2.533668341708543,1,2.3432045397669627
2.5482412060301507,1,2.4099920611407386
2.562814070351759,1,2.4814183490306694
2.577386934673367,1,2.5579602076443053
