# pcap,trace_1.pcap (not included in repository)
# idle_timeout_s,2
# interval_s,1
# packets_read,934389
# packets_with_ipv4,911425

time_s,sft_size
0.000000,0
1.000000,310
2.000000,600
3.000000,593
4.000000,542
5.000000,481
6.000000,487
7.000000,625
8.000000,636
9.000000,586
10.000000,552
11.000000,523
12.000000,521
13.000000,461
14.000000,527
15.000000,531
16.000000,446
17.000000,464
18.000000,522
19.000000,630
20.000000,616
21.000000,545
22.000000,604
23.000000,641
24.000000,583
25.000000,573
26.000000,553
27.000000,498
28.000000,567
29.000000,588
30.000000,555
31.000000,526
32.000000,572
33.000000,585
34.000000,540
35.000000,506
36.000000,524
37.000000,497
38.000000,509
39.000000,544
40.000000,607
41.000000,561
42.000000,479
43.000000,489
44.000000,543
45.000000,605
46.000000,627
47.000000,544
48.000000,576
49.000000,618
50.000000,601
51.000000,582
52.000000,695
53.000000,748
54.000000,576
55.000000,469
56.000000,537
57.000000,643
58.000000,669
59.000000,578
60.000000,537
61.000000,596
62.000000,578
63.000000,501
64.000000,515
65.000000,663
66.000000,837
67.000000,768
68.000000,672
69.000000,690
70.000000,721
71.000000,861
72.000000,881
73.000000,702
74.000000,664
75.000000,513
76.000000,517
77.000000,518
78.000000,521
79.000000,595
80.000000,566
81.000000,552
82.000000,586
83.000000,612
84.000000,584
85.000000,526
86.000000,501
87.000000,461
88.000000,480
89.000000,578
90.000000,572
91.000000,530
92.000000,569
93.000000,585
94.000000,617
95.000000,567
96.000000,457
97.000000,538
98.000000,613
99.000000,593
100.000000,511
101.000000,512
102.000000,540
103.000000,527
104.000000,541
105.000000,553
106.000000,518
107.000000,520
108.000000,636
109.000000,635
110.000000,605
111.000000,574
112.000000,582
113.000000,613
114.000000,534
115.000000,504
116.000000,521
117.000000,455
118.000000,556
119.000000,622
120.000000,581
121.000000,624
122.000000,569
123.000000,532
124.000000,559
125.000000,531
126.000000,520
127.000000,596
128.000000,664
129.000000,717
130.000000,607
131.000000,528
132.000000,505
133.000000,494
134.000000,533
135.000000,575
136.000000,522
137.000000,501
138.000000,569
139.000000,628
140.000000,605
141.000000,627
142.000000,701
143.000000,654
144.000000,583
145.000000,578
146.000000,602
147.000000,534
148.000000,607
149.000000,525
150.000000,580
151.000000,614
152.000000,598
153.000000,613
154.000000,584
155.000000,586
156.000000,531
157.000000,449
158.000000,537
159.000000,624
160.000000,552
161.000000,604
162.000000,595
163.000000,521
164.000000,564
165.000000,637
166.000000,805
167.000000,734
168.000000,546
169.000000,541
170.000000,567
171.000000,600
172.000000,709
173.000000,698
174.000000,576
175.000000,581
176.000000,538
177.000000,636
178.000000,691
179.000000,620
180.000000,558
181.000000,551
182.000000,573
183.000000,569
184.000000,537
185.000000,496
186.000000,745
187.000000,767
188.000000,542
189.000000,522
190.000000,625
191.000000,810
192.000000,774
193.000000,666
194.000000,657
195.000000,559
196.000000,522
197.000000,466
198.000000,494
199.000000,575
200.000000,524
201.000000,517
202.000000,552
203.000000,536
204.000000,608
205.000000,588
206.000000,510
207.000000,536
208.000000,569
209.000000,470
210.000000,480
211.000000,549
212.000000,564
213.000000,543
214.000000,573
215.000000,553
216.000000,456
217.000000,439
218.000000,541
219.000000,627
220.000000,582
221.000000,503
222.000000,536
223.000000,538
224.000000,488
225.000000,497
226.000000,485
227.000000,487
228.000000,571
229.000000,543
230.000000,535
231.000000,562
232.000000,596
233.000000,615
234.000000,514
235.000000,452
236.000000,497
237.000000,452
238.000000,499
239.000000,643
240.000000,590
241.000000,557
242.000000,561
243.000000,527
244.000000,528
245.000000,512
246.000000,487
247.000000,528
248.000000,609
249.000000,695
250.000000,595
251.000000,492
252.000000,484
253.000000,478
254.000000,489
255.000000,502
256.000000,515
257.000000,465
258.000000,531
259.000000,569
260.000000,514
261.000000,586
262.000000,599
263.000000,644
264.000000,642
265.000000,573
266.000000,582
267.000000,506
268.000000,503
269.000000,518
270.000000,565
271.000000,588
272.000000,541
273.000000,549
274.000000,584
275.000000,564
276.000000,514
277.000000,447
278.000000,512
279.000000,587
280.000000,547
281.000000,569
282.000000,512
283.000000,501
284.000000,521
285.000000,536
286.000000,571
287.000000,632
288.000000,618
289.000000,575
290.000000,538
291.000000,533
292.000000,633
293.000000,655
294.000000,617
295.000000,527
296.000000,552
297.000000,660
298.000000,728
299.000000,694
300.000000,567
301.000000,571
302.000000,550
303.000000,525
304.000000,543
305.000000,518
306.000000,745
307.000000,808
308.000000,618
309.000000,563
310.000000,662
311.000000,764
