# pcap,trace_1.pcap (not included in repository)
# idle_timeout_s,10
# interval_s,1
# packets_read,934389
# packets_with_ipv4,911425

time_s,sft_size
0.000000,0
1.000000,310
2.000000,600
3.000000,812
4.000000,1001
5.000000,1131
6.000000,1288
7.000000,1526
8.000000,1704
9.000000,1901
10.000000,2017
11.000000,1987
12.000000,1928
13.000000,1891
14.000000,1926
15.000000,1922
16.000000,1890
17.000000,1816
18.000000,1823
19.000000,1846
20.000000,1851
21.000000,1863
22.000000,1900
23.000000,1994
24.000000,1936
25.000000,1996
26.000000,1997
27.000000,1991
28.000000,2015
29.000000,1969
30.000000,1980
31.000000,1951
32.000000,1921
33.000000,1853
34.000000,1846
35.000000,1808
36.000000,1848
37.000000,1814
38.000000,1859
39.000000,1820
40.000000,1865
41.000000,1847
42.000000,1827
43.000000,1770
44.000000,1824
45.000000,1869
46.000000,1924
47.000000,1918
48.000000,1961
49.000000,1956
50.000000,1945
51.000000,1945
52.000000,2085
53.000000,2155
54.000000,2121
55.000000,2093
56.000000,2045
57.000000,2183
58.000000,2204
59.000000,2188
60.000000,2143
61.000000,2151
62.000000,2011
63.000000,1889
64.000000,1916
65.000000,2026
66.000000,2187
67.000000,2129
68.000000,2104
69.000000,2150
70.000000,2211
71.000000,2382
72.000000,2422
73.000000,2508
74.000000,2543
75.000000,2434
76.000000,2356
77.000000,2303
78.000000,2327
79.000000,2308
80.000000,2241
81.000000,1980
82.000000,1982
83.000000,1928
84.000000,1913
85.000000,1896
86.000000,1850
87.000000,1854
88.000000,1830
89.000000,1844
90.000000,1838
91.000000,1809
92.000000,1827
93.000000,1791
94.000000,1823
95.000000,1815
96.000000,1822
97.000000,1862
98.000000,1927
99.000000,1882
100.000000,1875
101.000000,1860
102.000000,1821
103.000000,1799
104.000000,1766
105.000000,1787
106.000000,1814
107.000000,1816
108.000000,1818
109.000000,1850
110.000000,1884
111.000000,1938
112.000000,1950
113.000000,1973
114.000000,1920
115.000000,1936
116.000000,1920
117.000000,1871
118.000000,1885
119.000000,1893
120.000000,1879
121.000000,1920
122.000000,1887
123.000000,1881
124.000000,1919
125.000000,1879
126.000000,1892
127.000000,1968
128.000000,2005
129.000000,2035
130.000000,1969
131.000000,1913
132.000000,1922
133.000000,1879
134.000000,1851
135.000000,1929
136.000000,1889
137.000000,1898
138.000000,1870
139.000000,1865
140.000000,1883
141.000000,1948
142.000000,2004
143.000000,2085
144.000000,2053
145.000000,2071
146.000000,2088
147.000000,2088
148.000000,2124
149.000000,2015
150.000000,2091
151.000000,2016
152.000000,2001
153.000000,1926
154.000000,1974
155.000000,1947
156.000000,1945
157.000000,1874
158.000000,1932
159.000000,1982
160.000000,1913
161.000000,1956
162.000000,1948
163.000000,1906
164.000000,1900
165.000000,1953
166.000000,2136
167.000000,2176
168.000000,2142
169.000000,2121
170.000000,2120
171.000000,2066
172.000000,2213
173.000000,2214
174.000000,2193
175.000000,2172
176.000000,1960
177.000000,2106
178.000000,2170
179.000000,2203
180.000000,2179
181.000000,2166
182.000000,2027
183.000000,2003
184.000000,1985
185.000000,1913
186.000000,2120
187.000000,2023
188.000000,2005
189.000000,2010
190.000000,2043
191.000000,2214
192.000000,2262
193.000000,2312
194.000000,2371
195.000000,2397
196.000000,2212
197.000000,2141
198.000000,2176
199.000000,2148
200.000000,2087
201.000000,1915
202.000000,1891
203.000000,1826
204.000000,1817
205.000000,1824
206.000000,1811
207.000000,1859
208.000000,1821
209.000000,1788
210.000000,1809
211.000000,1774
212.000000,1816
213.000000,1791
214.000000,1793
215.000000,1780
216.000000,1787
217.000000,1741
218.000000,1813
219.000000,1868
220.000000,1846
221.000000,1823
222.000000,1830
223.000000,1810
224.000000,1756
225.000000,1750
226.000000,1747
227.000000,1763
228.000000,1758
229.000000,1724
230.000000,1727
231.000000,1766
232.000000,1812
233.000000,1826
234.000000,1810
235.000000,1815
236.000000,1842
237.000000,1800
238.000000,1779
239.000000,1871
240.000000,1860
241.000000,1894
242.000000,1866
243.000000,1793
244.000000,1819
245.000000,1831
246.000000,1816
247.000000,1839
248.000000,1880
249.000000,1929
250.000000,1904
251.000000,1875
252.000000,1864
253.000000,1817
254.000000,1810
255.000000,1855
256.000000,1846
257.000000,1807
258.000000,1832
259.000000,1725
260.000000,1731
261.000000,1780
262.000000,1816
263.000000,1937
264.000000,1948
265.000000,1930
266.000000,1962
267.000000,1962
268.000000,1947
269.000000,1931
270.000000,1960
271.000000,1906
272.000000,1909
273.000000,1833
274.000000,1857
275.000000,1843
276.000000,1798
277.000000,1797
278.000000,1804
279.000000,1833
280.000000,1818
281.000000,1855
282.000000,1850
283.000000,1810
284.000000,1769
285.000000,1814
286.000000,1836
287.000000,1955
288.000000,1911
289.000000,1943
290.000000,1911
291.000000,1907
292.000000,2009
293.000000,2037
294.000000,2059
295.000000,2024
296.000000,2063
297.000000,2049
298.000000,2176
299.000000,2187
300.000000,2192
301.000000,2180
302.000000,2095
303.000000,2071
304.000000,2021
305.000000,2005
306.000000,2129
307.000000,2117
308.000000,2056
309.000000,2025
310.000000,2100
311.000000,2172
