# pcap,trace_1.pcap (not included in repository)
# idle_timeout_s,5
# interval_s,1
# packets_read,934389
# packets_with_ipv4,911425

time_s,sft_size
0.000000,0
1.000000,310
2.000000,600
3.000000,812
4.000000,1001
5.000000,1131
6.000000,1105
7.000000,1150
8.000000,1151
9.000000,1196
10.000000,1226
11.000000,1223
12.000000,1124
13.000000,1066
14.000000,1063
15.000000,1052
16.000000,990
17.000000,1018
18.000000,1070
19.000000,1099
20.000000,1112
21.000000,1177
22.000000,1202
23.000000,1267
24.000000,1186
25.000000,1256
26.000000,1182
27.000000,1148
28.000000,1100
29.000000,1139
30.000000,1073
31.000000,1110
32.000000,1127
33.000000,1146
34.000000,1093
35.000000,1102
36.000000,1101
37.000000,1047
38.000000,1048
39.000000,1063
40.000000,1112
41.000000,1093
42.000000,1116
43.000000,1077
44.000000,1104
45.000000,1081
46.000000,1164
47.000000,1144
48.000000,1239
49.000000,1208
50.000000,1213
51.000000,1127
52.000000,1304
53.000000,1355
54.000000,1333
55.000000,1279
56.000000,1258
57.000000,1235
58.000000,1200
59.000000,1215
60.000000,1214
61.000000,1237
62.000000,1130
63.000000,1063
64.000000,1089
65.000000,1209
66.000000,1351
67.000000,1395
68.000000,1430
69.000000,1453
70.000000,1412
71.000000,1516
72.000000,1530
73.000000,1602
74.000000,1584
75.000000,1502
76.000000,1259
77.000000,1168
78.000000,1087
79.000000,1101
80.000000,1110
81.000000,1101
82.000000,1154
83.000000,1178
84.000000,1173
85.000000,1152
86.000000,1114
87.000000,1057
88.000000,1007
89.000000,1028
90.000000,1031
91.000000,1054
92.000000,1146
93.000000,1148
94.000000,1166
95.000000,1148
96.000000,1121
97.000000,1101
98.000000,1148
99.000000,1057
100.000000,1086
101.000000,1091
102.000000,1084
103.000000,1019
104.000000,1071
105.000000,1063
106.000000,1083
107.000000,1057
108.000000,1150
109.000000,1161
110.000000,1192
111.000000,1234
112.000000,1234
113.000000,1195
114.000000,1143
115.000000,1130
116.000000,1098
117.000000,1031
118.000000,1038
119.000000,1120
120.000000,1121
121.000000,1201
122.000000,1212
123.000000,1189
124.000000,1166
125.000000,1095
126.000000,1032
127.000000,1111
128.000000,1193
129.000000,1228
130.000000,1220
131.000000,1227
132.000000,1200
133.000000,1098
134.000000,1027
135.000000,1090
136.000000,1038
137.000000,1084
138.000000,1132
139.000000,1167
140.000000,1138
141.000000,1249
142.000000,1268
143.000000,1335
144.000000,1253
145.000000,1314
146.000000,1217
147.000000,1197
148.000000,1175
149.000000,1153
150.000000,1147
151.000000,1157
152.000000,1151
153.000000,1162
154.000000,1230
155.000000,1199
156.000000,1185
157.000000,1101
158.000000,1106
159.000000,1096
160.000000,1092
161.000000,1157
162.000000,1189
163.000000,1138
164.000000,1167
165.000000,1217
166.000000,1334
167.000000,1358
168.000000,1360
169.000000,1308
170.000000,1266
171.000000,1087
172.000000,1244
173.000000,1278
174.000000,1304
175.000000,1322
176.000000,1264
177.000000,1243
178.000000,1256
179.000000,1262
180.000000,1251
181.000000,1253
182.000000,1139
183.000000,1137
184.000000,1115
185.000000,1055
186.000000,1265
187.000000,1254
188.000000,1245
189.000000,1297
190.000000,1372
191.000000,1356
192.000000,1388
193.000000,1485
194.000000,1496
195.000000,1399
196.000000,1226
197.000000,1125
198.000000,1071
199.000000,1024
200.000000,1026
201.000000,1039
202.000000,1081
203.000000,1075
204.000000,1140
205.000000,1146
206.000000,1105
207.000000,1122
208.000000,1104
209.000000,1008
210.000000,1015
211.000000,1035
212.000000,1066
213.000000,1065
214.000000,1151
215.000000,1114
216.000000,1085
217.000000,1006
218.000000,1079
219.000000,1062
220.000000,1074
221.000000,1076
222.000000,1147
223.000000,1085
224.000000,1031
225.000000,1011
226.000000,1003
227.000000,982
228.000000,1042
229.000000,1070
230.000000,1071
231.000000,1116
232.000000,1160
233.000000,1166
234.000000,1139
235.000000,1087
236.000000,1070
237.000000,1003
238.000000,973
239.000000,1096
240.000000,1097
241.000000,1147
242.000000,1177
243.000000,1154
244.000000,1086
245.000000,1075
246.000000,1020
247.000000,1037
248.000000,1076
249.000000,1202
250.000000,1195
251.000000,1202
252.000000,1153
253.000000,1077
254.000000,972
255.000000,1009
256.000000,981
257.000000,984
258.000000,1062
259.000000,1070
260.000000,1042
261.000000,1110
262.000000,1151
263.000000,1224
264.000000,1227
265.000000,1249
266.000000,1211
267.000000,1158
268.000000,1096
269.000000,1068
270.000000,1079
271.000000,1051
272.000000,1101
273.000000,1113
274.000000,1169
275.000000,1104
276.000000,1087
277.000000,1073
278.000000,1076
279.000000,1046
280.000000,1054
281.000000,1100
282.000000,1110
283.000000,1083
284.000000,1070
285.000000,1084
286.000000,1064
287.000000,1198
288.000000,1183
289.000000,1218
290.000000,1181
291.000000,1197
292.000000,1173
293.000000,1230
294.000000,1227
295.000000,1230
296.000000,1244
297.000000,1236
298.000000,1323
299.000000,1328
300.000000,1342
301.000000,1305
302.000000,1210
303.000000,1118
304.000000,1071
305.000000,1044
306.000000,1217
307.000000,1307
308.000000,1350
309.000000,1341
310.000000,1440
311.000000,1336
