# pcap,trace_1.pcap (not included in repository)
# idle_timeout_s,4
# interval_s,1
# packets_read,934389
# packets_with_ipv4,911425

time_s,sft_size
0.000000,0
1.000000,310
2.000000,600
3.000000,812
4.000000,1001
5.000000,938
6.000000,898
7.000000,962
8.000000,980
9.000000,1071
10.000000,1052
11.000000,972
12.000000,937
13.000000,853
14.000000,915
15.000000,867
16.000000,838
17.000000,881
18.000000,847
19.000000,959
20.000000,982
21.000000,1011
22.000000,1040
23.000000,1032
24.000000,1051
25.000000,1065
26.000000,984
27.000000,912
28.000000,952
29.000000,923
30.000000,948
31.000000,941
32.000000,963
33.000000,946
34.000000,949
35.000000,931
36.000000,910
37.000000,861
38.000000,893
39.000000,897
40.000000,957
41.000000,956
42.000000,933
43.000000,914
44.000000,882
45.000000,949
46.000000,1015
47.000000,996
48.000000,1054
49.000000,1009
50.000000,984
51.000000,1006
52.000000,1110
53.000000,1195
54.000000,1133
55.000000,1085
56.000000,967
57.000000,988
58.000000,1062
59.000000,1057
60.000000,1037
61.000000,983
62.000000,922
63.000000,923
64.000000,947
65.000000,1010
66.000000,1203
67.000000,1259
68.000000,1257
69.000000,1196
70.000000,1148
71.000000,1333
72.000000,1364
73.000000,1396
74.000000,1376
75.000000,1067
76.000000,1039
77.000000,889
78.000000,890
79.000000,964
80.000000,916
81.000000,968
82.000000,975
83.000000,997
84.000000,1020
85.000000,975
86.000000,924
87.000000,845
88.000000,834
89.000000,881
90.000000,891
91.000000,938
92.000000,986
93.000000,948
94.000000,1020
95.000000,985
96.000000,922
97.000000,931
98.000000,903
99.000000,944
100.000000,958
101.000000,922
102.000000,867
103.000000,874
104.000000,932
105.000000,929
106.000000,896
107.000000,923
108.000000,974
109.000000,1006
110.000000,1049
111.000000,1047
112.000000,1020
113.000000,1020
114.000000,954
115.000000,954
116.000000,914
117.000000,824
118.000000,921
119.000000,943
120.000000,977
121.000000,1074
122.000000,997
123.000000,1000
124.000000,976
125.000000,875
126.000000,896
127.000000,954
128.000000,1010
129.000000,1101
130.000000,1059
131.000000,1058
132.000000,964
133.000000,875
134.000000,899
135.000000,909
136.000000,897
137.000000,936
138.000000,941
139.000000,980
140.000000,1000
141.000000,1082
142.000000,1114
143.000000,1107
144.000000,1108
145.000000,1073
146.000000,1018
147.000000,967
148.000000,1037
149.000000,912
150.000000,1000
151.000000,969
152.000000,985
153.000000,1043
154.000000,1021
155.000000,1034
156.000000,984
157.000000,895
158.000000,911
159.000000,922
160.000000,936
161.000000,1032
162.000000,983
163.000000,974
164.000000,995
165.000000,999
166.000000,1191
167.000000,1204
168.000000,1169
169.000000,1076
170.000000,918
171.000000,949
172.000000,1097
173.000000,1139
174.000000,1125
175.000000,1131
176.000000,964
177.000000,1051
178.000000,1075
179.000000,1075
180.000000,1089
181.000000,989
182.000000,948
183.000000,967
184.000000,947
185.000000,888
186.000000,1101
187.000000,1088
188.000000,1116
189.000000,1146
190.000000,1012
191.000000,1186
192.000000,1238
193.000000,1304
194.000000,1257
195.000000,1061
196.000000,1037
197.000000,867
198.000000,849
199.000000,883
200.000000,856
201.000000,931
202.000000,894
203.000000,912
204.000000,1001
205.000000,965
206.000000,949
207.000000,951
208.000000,901
209.000000,845
210.000000,880
211.000000,859
212.000000,910
213.000000,947
214.000000,980
215.000000,957
216.000000,882
217.000000,845
218.000000,860
219.000000,922
220.000000,951
221.000000,954
222.000000,938
223.000000,893
224.000000,868
225.000000,891
226.000000,825
227.000000,834
228.000000,914
229.000000,910
230.000000,943
231.000000,946
232.000000,961
233.000000,1021
234.000000,956
235.000000,919
236.000000,879
237.000000,782
238.000000,851
239.000000,943
240.000000,948
241.000000,1020
242.000000,989
243.000000,922
244.000000,937
245.000000,895
246.000000,870
247.000000,860
248.000000,936
249.000000,1053
250.000000,1047
251.000000,1029
252.000000,930
253.000000,823
254.000000,837
255.000000,846
256.000000,856
257.000000,833
258.000000,913
259.000000,893
260.000000,892
261.000000,991
262.000000,940
263.000000,1074
264.000000,1085
265.000000,1039
266.000000,1041
267.000000,906
268.000000,936
269.000000,885
270.000000,898
271.000000,928
272.000000,922
273.000000,983
274.000000,956
275.000000,947
276.000000,955
277.000000,875
278.000000,877
279.000000,879
280.000000,915
281.000000,985
282.000000,897
283.000000,917
284.000000,900
285.000000,899
286.000000,945
287.000000,1021
288.000000,1031
289.000000,1045
290.000000,997
291.000000,950
292.000000,1012
293.000000,1044
294.000000,1091
295.000000,1035
296.000000,1015
297.000000,1029
298.000000,1134
299.000000,1193
300.000000,1121
301.000000,1077
302.000000,934
303.000000,927
304.000000,915
305.000000,875
306.000000,1095
307.000000,1147
308.000000,1209
309.000000,1193
310.000000,1086
311.000000,1137
